"You do not have permission to manage company assignments","No tiene permiso para gestionar asignaciones de empresa"
"You do not have permission to manage users","No tiene permiso para gestionar usuarios"
"Your account is not enabled or your company has not yet been enabled","Su cuenta no está habilitada o su empresa aún no ha sido habilitada"
"You will receive an email notification once your request has been processed","Recibirá una notificación por correo electrónico una vez que su solicitud haya sido procesada"
"ZIP/Postal Code","Código Postal"
"Allow Frontend Customer Registration","Permitir Registro de Clientes en el Frontend"
"Comma-separated list of email addresses","Lista de correos electrónicos separados por comas"
"Company (B2B)","Empresa (B2B)"
"Company - New Account No Password Template","Empresa - Plantilla de Nueva Cuenta Sin Contraseña"
"Company - Status Change Template","Empresa - Plantilla de Cambio de Estado"
"Customer Login","Inicio de Sesión del Cliente"
Customers,Clientes
"Email Notification","Notificación por Correo electrónico"
"Email Template","Plantilla de Correo electrónico"
"Email template for company users created without password","Plantilla de correo para usuarios de empresa creados sin contraseña"
"Email template sent to the company email when its status changes","Plantilla de correo enviada a la empresa cuando cambia su estado"
"Enable New Company Notification","Habilitar Notificación de Nueva Empresa"
"Notification Email Address","Dirección de Correo electrónico para Notificaciones"
"Request a New Company Account","Solicitar una Nueva Cuenta de Empresa"
"Require Approval for Customer","Requerir Aprobación para Cliente"
"Company Management","Gestión de Empresas"
